measure_id,measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx,upper,lower
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1980,Rate,685.204213905371,708.198421373206,661.765085760159
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1981,Rate,669.442657432019,692.823087006143,647.019470796641
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1982,Rate,663.124951061951,686.718556891391,640.724137115043
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1983,Rate,627.44406446689,649.268138422289,606.049344877601
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1984,Rate,619.525660330502,640.247568353898,598.753717771328
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1985,Rate,615.993222210309,635.827219370021,596.389451286195
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1986,Rate,613.794166541817,634.033115676276,593.665265485216
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1987,Rate,581.206731403464,600.58340413192,561.157235182246
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1988,Rate,573.236596987925,592.972399473193,553.399260871138
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1989,Rate,554.316679903636,573.19164686826,536.711724259533
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1990,Rate,521.187066551104,537.923256054283,503.779414548308
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1991,Rate,512.379107894704,529.336746141587,494.738331448449
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1992,Rate,486.373817454524,504.06742510515,470.036331098015
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1993,Rate,493.618468861718,509.826490468899,478.834507863885
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1994,Rate,496.693192213364,512.987048453989,479.850170716185
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1995,Rate,462.032993776438,478.010627860956,446.947144377508
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1996,Rate,456.972331695396,473.774505646785,442.021677511394
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1997,Rate,445.027973439552,460.080149262963,429.822353600027
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1998,Rate,430.692369310248,445.219366446042,416.647118305489
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,1999,Rate,420.764090692824,434.88218513451,407.630391787769
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2000,Rate,412.401436939645,426.955805714998,398.544768870138
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2001,Rate,403.09122505363,415.571823408176,390.923187856856
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2002,Rate,378.777703862859,391.999260287147,366.283769647782
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2003,Rate,381.757515487668,393.627377541208,368.539867485234
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2004,Rate,368.690713547227,380.479442245656,356.094792983378
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2005,Rate,354.602712437236,366.422216151483,342.540359450518
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2006,Rate,329.608171294275,340.882835077565,319.101240754994
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2007,Rate,322.771594496668,333.80720829474,312.244760748393
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2008,Rate,310.67336340507,320.911579998982,299.560622113743
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2009,Rate,299.029253843307,310.482906347146,288.948690709206
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2010,Rate,298.256316322269,308.304046433026,287.422280917715
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2011,Rate,297.645382805947,308.1542219413,287.4057198339
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2012,Rate,281.775141915471,291.555722862523,272.13802668168
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2013,Rate,282.808143901048,292.733678321676,272.473314213616
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,1,Male,27,Age-standardized,2014,Rate,289.465078560427,299.619892728437,279.859061866609
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1980,Rate,425.912503976044,442.825107335392,409.692205740885
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1981,Rate,418.462784516486,434.166816846384,401.611482132216
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1982,Rate,407.013422510516,422.272480511342,392.425206069862
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1983,Rate,400.187747364272,414.364629068858,386.089117742662
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1984,Rate,395.43885348594,410.590164392621,381.262691059458
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1985,Rate,407.070742941116,422.234585102874,392.84908165458
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1986,Rate,390.358474778288,404.788351473854,375.260680389965
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1987,Rate,388.761087926891,402.853107741395,374.749290642736
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1988,Rate,380.088538203502,393.809156318854,366.953299681828
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1989,Rate,364.913160141012,377.553685647579,350.938105280569
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1990,Rate,348.810553178162,361.473666900414,335.039018183082
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1991,Rate,350.397429426741,363.266027154661,337.930094319351
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1992,Rate,329.345710353951,341.744499303595,317.437781359617
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1993,Rate,326.899769852569,338.278375922071,315.609305418501
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1994,Rate,324.117493382004,335.521801428546,312.528846767092
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1995,Rate,326.472749989275,337.233967251082,315.112440160844
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1996,Rate,321.83569154386,333.078030354285,310.630522353171
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1997,Rate,308.252213405923,319.015132522796,297.245310480586
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1998,Rate,297.444490243349,308.284085069944,287.097458613325
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,1999,Rate,301.93041346847,312.839043673686,291.992875585416
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,2000,Rate,301.951281195388,312.258282777677,291.90803728069
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,2001,Rate,303.034356124167,313.988408261705,292.898308814738
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,2002,Rate,285.841361833625,295.875793721891,275.704596302374
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,2003,Rate,281.433109842166,290.719863783719,272.416073272425
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,2004,Rate,268.267510637215,277.465909503968,258.979443706064
1,Deaths,530,Delaware,10,491,Cardiovascular diseases,2,Female,27,Age-standardized,2005,Rate,262.21139725633,271.187900093959,252.866086624434
