"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1980,"Rate",3.29893206955936,2.25621355398653,4.62393788617101
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1981,"Rate",3.14909546149895,2.18444268626244,4.42570276337043
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1982,"Rate",2.84048573273963,2.00911210462885,3.90562300399453
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1983,"Rate",2.81308893215882,2.01457336775962,3.82063925890949
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1984,"Rate",2.54670460015587,1.87283874592793,3.37435589544981
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1985,"Rate",2.43309333691405,1.80402361890897,3.20818939442434
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1986,"Rate",2.40039651260889,1.84717408941533,3.10457429001856
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1987,"Rate",2.53836820290588,2.04170473418286,3.18178171851973
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1988,"Rate",2.58267011266009,2.09725611584112,3.18587037530012
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1989,"Rate",2.54928821375576,2.102440799436,3.08720851047944
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1990,"Rate",2.47879647856887,2.05776036532988,2.94848503266102
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1991,"Rate",2.4148796489433,2.03654346068354,2.84790183558356
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1992,"Rate",2.35948536130297,2.0206179201851,2.77183190870016
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1993,"Rate",2.31217013294779,2.00700038013511,2.69063949153364
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1994,"Rate",2.16023193852498,1.86230638743783,2.48707947030932
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1995,"Rate",2.14834997418752,1.87149561201328,2.47598503063032
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1996,"Rate",1.88748437520805,1.62436675333123,2.16500418280245
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1997,"Rate",1.60060426744515,1.34487553585629,1.89785943434412
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1998,"Rate",1.41712386977681,1.18692906384258,1.67804833707649
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",1999,"Rate",1.38039408366761,1.16171379477587,1.64710703723353
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2000,"Rate",1.2637367576221,1.06743956504955,1.50055347260292
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2001,"Rate",1.19411478594029,0.998655459703005,1.41946581360023
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2002,"Rate",1.13721857507081,0.956894091747216,1.34924340980101
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2003,"Rate",1.01558243238028,0.842886158526193,1.21085219772327
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2004,"Rate",0.927674141878565,0.779544454107863,1.10730079777035
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2005,"Rate",0.931467929603986,0.768814938320888,1.13224481483933
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2006,"Rate",0.852532626453203,0.710051281126319,1.03331998688282
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2007,"Rate",0.798492420475001,0.653024544865205,0.972849828837353
1,"Deaths",524,"Alaska",2,297,"Tuberculosis",1,"Male",27,"Age-standardized",2008,"Rate",0.744718733334031,0.605902462010402,0.921228186250741
